શ્રી કૃષ્ણ,ગોલોક વ્રીન્દાવન
શામળીયા ભગવાન,શામળાજી મંદિર (વસઈ)
શામળીયા ભગવાન,શામળાજી મંદિર (શામળાજી)
કાંકરેશ્વરી માતાજી,વસઈ
ભૈરવદાદા,વસઈ
ભોલેશ્વર મહાદેવ,વસઈ
હિંગરાજ માતાજી,વસઈ
અંબિકા માતાજી,ખેડબ્રહ્મા
જેશીંગ બાવાજી,ગોધામજી
શ્રી શ્રી રાધા ગોવિંદજી,ઇસ્કોન મંદિર અમદાવાદ
શ્રી શ્રી રાધા નીલમાધવ,ઇસ્કોન મંદિર રાજકોટ
શ્રી શ્રી દ્વારકાધીશ,દ્વારકા
શ્રી શ્રી રાધા રાસબિહારીજી,જુહુ મુંબઈ
શ્રી શ્રી રાધા ગિરીધરીજી,મીરા રોડ મુંબઈ
શ્રી શ્રી રાધા ગોપીનાથ,ગ્રાન્ટ રોડ મુંબઈ
શ્રી શ્રી રાધા માધવ,ઇસ્કોન માયાપુર
શ્રી શ્રી ન્રીસીમહાદેવ,ઇસ્કોન માયાપુર
શ્રી શ્રી પંચતત્ત્વ,ઇસ્કોન માયાપુર
શ્રી શ્રી રાધા શ્યામસુંદર,કૃષ્ણ બાલારામ મંદિર વ્રીન્દાવન
શ્રી શ્રી જગન્નાથ બલદેવ સુભદ્રા,નીલાંચલ ધામ
શ્રી શ્રી જગન્નાથ બલદેવ સુભદ્રા,સિંગાપોર
